,issue_key,issue_type,time,updated_status
219,CS-3565,Bug,2019-09-27T12:30:06.719-0400,Verified
218,CS-3565,Bug,2019-09-27T15:50:06.733-0400,Closed
213,CS-3536,Bug,2019-09-16T16:20:23.519-0400,Closed
214,CS-3536,Bug,2019-09-16T16:18:48.161-0400,Verified
215,CS-3536,Bug,2019-09-16T15:41:50.891-0400,Test
217,CS-3536,Bug,2019-09-16T15:13:10.093-0400,To Do
216,CS-3536,Bug,2019-09-16T15:13:14.941-0400,Doing
211,CS-3528,Story,2019-09-17T08:10:15.166-0400,Doing
209,CS-3528,Story,2019-09-18T16:22:04.758-0400,Verified
208,CS-3528,Story,2019-09-19T08:11:41.569-0400,Closed
212,CS-3528,Story,2019-09-17T08:10:11.517-0400,To Do
210,CS-3528,Story,2019-09-17T13:04:18.089-0400,Test
204,CS-3525,Bug,2019-09-12T11:58:28.569-0400,Verified
203,CS-3525,Bug,2019-09-12T12:12:42.565-0400,Closed
205,CS-3525,Bug,2019-09-10T16:24:15.753-0400,Test
206,CS-3525,Bug,2019-09-10T15:17:28.729-0400,Doing
207,CS-3525,Bug,2019-09-10T15:17:24.888-0400,To Do
202,CS-3520,Bug,2019-09-09T15:12:10.986-0400,To Do
200,CS-3520,Bug,2019-09-17T09:26:53.299-0400,Test
199,CS-3520,Bug,2019-09-17T16:20:24.831-0400,Documentation
198,CS-3520,Bug,2019-09-20T13:20:07.751-0400,Verified
197,CS-3520,Bug,2019-09-23T10:41:58.631-0400,Closed
201,CS-3520,Bug,2019-09-09T15:12:18.590-0400,Doing
190,CS-3506,Bug,2019-09-09T13:08:49.201-0400,Test
187,CS-3506,Bug,2019-09-10T13:48:18.715-0400,Closed
188,CS-3506,Bug,2019-09-10T12:26:31.449-0400,Verified
189,CS-3506,Bug,2019-09-09T13:08:52.677-0400,Documentation
192,CS-3506,Bug,2019-09-09T12:16:27.934-0400,Test
191,CS-3506,Bug,2019-09-09T13:08:27.622-0400,Verified
194,CS-3506,Bug,2019-09-06T14:57:45.103-0400,Test
195,CS-3506,Bug,2019-09-05T13:24:48.649-0400,Doing
196,CS-3506,Bug,2019-09-05T13:24:43.275-0400,To Do
193,CS-3506,Bug,2019-09-09T11:00:33.303-0400,Doing
186,CS-3497,Story,2019-08-30T08:53:52.658-0400,To Do
185,CS-3497,Story,2019-08-30T08:53:58.208-0400,Doing
184,CS-3497,Story,2019-09-03T08:32:05.458-0400,Test
183,CS-3497,Story,2019-09-04T16:17:31.006-0400,Verified
182,CS-3497,Story,2019-09-04T16:36:23.793-0400,Closed
178,CS-3491,Bug,2019-08-30T10:57:07.401-0400,Verified
177,CS-3491,Bug,2019-08-30T10:59:22.746-0400,Closed
180,CS-3491,Bug,2019-08-29T09:04:12.684-0400,Doing
179,CS-3491,Bug,2019-08-30T09:17:22.826-0400,Test
181,CS-3491,Bug,2019-08-29T09:03:41.278-0400,To Do
176,CS-3473,Bug,2019-09-24T11:21:49.680-0400,To Do
175,CS-3473,Bug,2019-09-24T11:21:52.585-0400,Doing
174,CS-3473,Bug,2019-09-24T14:04:05.374-0400,Test
173,CS-3473,Bug,2019-09-24T16:28:46.333-0400,Verified
172,CS-3473,Bug,2019-09-24T17:16:21.674-0400,Closed
167,CS-3465,Bug,2019-09-20T09:39:58.616-0400,Closed
168,CS-3465,Bug,2019-09-20T09:10:03.521-0400,Verified
169,CS-3465,Bug,2019-09-18T14:58:10.976-0400,Test
171,CS-3465,Bug,2019-09-17T09:40:12.018-0400,To Do
170,CS-3465,Bug,2019-09-17T09:40:16.422-0400,Doing
166,CS-3462,Bug,2019-09-18T08:02:47.438-0400,To Do
165,CS-3462,Bug,2019-09-18T08:02:52.148-0400,Doing
164,CS-3462,Bug,2019-09-18T14:58:21.642-0400,Test
163,CS-3462,Bug,2019-09-18T17:21:56.697-0400,Documentation
162,CS-3462,Bug,2019-09-19T09:59:40.146-0400,Verified
161,CS-3462,Bug,2019-09-19T10:00:40.245-0400,Closed
160,CS-3452,Bug,2019-09-16T07:13:06.124-0400,To Do
159,CS-3452,Bug,2019-09-16T07:13:11.637-0400,Doing
158,CS-3452,Bug,2019-09-16T13:19:50.013-0400,Test
157,CS-3452,Bug,2019-09-16T14:00:13.573-0400,Verified
156,CS-3452,Bug,2019-09-16T14:04:27.495-0400,Closed
152,CS-3451,Bug,2019-09-09T15:25:13.130-0400,Verified
151,CS-3451,Bug,2019-09-09T15:39:06.070-0400,Closed
155,CS-3451,Bug,2019-09-09T08:38:35.021-0400,To Do
